tradingday,stockcode,stockweight
2016-07-20 00:00:00,600400,0.8
2016-07-21 00:00:00,000521,0.8
2016-07-22 00:00:00,300013,0.8
2016-07-25 00:00:00,601398,0.8
2016-07-26 00:00:00,002365,0.8
2016-07-27 00:00:00,000520,0.8
2016-07-28 00:00:00,002151,0.8
2016-07-29 00:00:00,002630,0.8
2016-08-01 00:00:00,000828,0.8
2016-08-02 00:00:00,002441,0.8
2016-08-03 00:00:00,002584,0.8
2016-08-04 00:00:00,002158,0.8
2016-08-05 00:00:00,300103,0.8
2016-08-08 00:00:00,002300,0.8
2016-08-09 00:00:00,300045,0.8
2016-08-10 00:00:00,600830,0.8
2016-08-11 00:00:00,000718,0.8
2016-08-12 00:00:00,000973,0.8
2016-08-15 00:00:00,600338,0.8
2016-08-16 00:00:00,000663,0.8
2016-08-17 00:00:00,002707,0.8
2016-08-18 00:00:00,000917,0.8
2016-08-19 00:00:00,600797,0.8
2016-08-22 00:00:00,600095,0.8
2016-08-23 00:00:00,600051,0.8
2016-08-24 00:00:00,002159,0.8
2016-08-25 00:00:00,600192,0.8
2016-08-26 00:00:00,002376,0.8
2016-08-29 00:00:00,601588,0.8
2016-08-30 00:00:00,300031,0.8
2016-08-31 00:00:00,600177,0.8
2016-09-01 00:00:00,000590,0.8
2016-09-02 00:00:00,600332,0.8
2016-09-05 00:00:00,600187,0.8
2016-09-06 00:00:00,600696,0.8
2016-09-07 00:00:00,300018,0.8
2016-09-08 00:00:00,002647,0.8
2016-09-09 00:00:00,002639,0.8
2016-09-12 00:00:00,000573,0.8
2016-09-13 00:00:00,300135,0.8
2016-09-14 00:00:00,000710,0.8
2016-09-19 00:00:00,600806,0.8
2016-09-20 00:00:00,002708,0.8
2016-09-21 00:00:00,300277,0.8
2016-09-22 00:00:00,600673,0.8
2016-09-23 00:00:00,600599,0.8
2016-09-26 00:00:00,601886,0.8
2016-09-27 00:00:00,600260,0.8
2016-09-28 00:00:00,300229,0.8
2016-09-29 00:00:00,002497,0.8
2016-09-30 00:00:00,600804,0.8
2016-10-10 00:00:00,300369,0.8
2016-10-11 00:00:00,000717,0.8
2016-10-12 00:00:00,600033,0.8
2016-10-13 00:00:00,000708,0.8
2016-10-14 00:00:00,600888,0.8
2016-10-17 00:00:00,600754,0.8
2016-10-18 00:00:00,300176,0.8
2016-10-19 00:00:00,600779,0.8
2016-10-20 00:00:00,002112,0.8
2016-10-21 00:00:00,600200,0.8
2016-10-24 00:00:00,000701,0.8
2016-10-25 00:00:00,601888,0.8
2016-10-26 00:00:00,002046,0.8
2016-10-27 00:00:00,300380,0.8
2016-10-28 00:00:00,000727,0.8
2016-10-31 00:00:00,300123,0.8
2016-11-01 00:00:00,300389,0.8
2016-11-02 00:00:00,002096,0.8
2016-11-03 00:00:00,000918,0.8
2016-11-04 00:00:00,002394,0.8
2016-11-07 00:00:00,600801,0.8
2016-11-08 00:00:00,600171,0.8
2016-11-09 00:00:00,000876,0.8
2016-11-10 00:00:00,600838,0.8
2016-11-11 00:00:00,002231,0.8
2016-11-14 00:00:00,000657,0.8
2016-11-15 00:00:00,600654,0.8
2016-11-16 00:00:00,000961,0.8
2016-11-17 00:00:00,600343,0.8
2016-11-18 00:00:00,000603,0.8
2016-11-21 00:00:00,002684,0.8
2016-11-22 00:00:00,601519,0.8
2016-11-23 00:00:00,601158,0.8
2016-11-24 00:00:00,600155,0.8
2016-11-25 00:00:00,300199,0.8
2016-11-28 00:00:00,600418,0.8
2016-11-29 00:00:00,002682,0.8
2016-11-30 00:00:00,002252,0.8
2016-12-01 00:00:00,600587,0.8
2016-12-02 00:00:00,002529,0.8
2016-12-05 00:00:00,300115,0.8
2016-12-06 00:00:00,002568,0.8
2016-12-07 00:00:00,600351,0.8
2016-12-08 00:00:00,002180,0.8
2016-12-09 00:00:00,002431,0.8
2016-12-12 00:00:00,600812,0.8
2016-12-13 00:00:00,002501,0.8
2016-12-14 00:00:00,300353,0.8
2016-12-15 00:00:00,002092,0.8
2016-12-16 00:00:00,000716,0.8
2016-12-19 00:00:00,000795,0.8
2016-12-20 00:00:00,300027,0.8
2016-12-21 00:00:00,300113,0.8
2016-12-22 00:00:00,600387,0.8
2016-12-23 00:00:00,600561,0.8
2016-12-26 00:00:00,002635,0.8
2016-12-27 00:00:00,002171,0.8
2016-12-28 00:00:00,002162,0.8
2016-12-29 00:00:00,600241,0.8
2016-12-30 00:00:00,600847,0.8
2017-01-03 00:00:00,600546,0.8
2017-01-04 00:00:00,000591,0.8
2017-01-05 00:00:00,002105,0.8
2017-01-06 00:00:00,002201,0.8
2017-01-09 00:00:00,000623,0.8
2017-01-10 00:00:00,000498,0.8
2017-01-11 00:00:00,600714,0.8
2017-01-12 00:00:00,600676,0.8
2017-01-13 00:00:00,000931,0.8
2017-01-16 00:00:00,002477,0.8
2017-01-17 00:00:00,603168,0.8
2017-01-18 00:00:00,002067,0.8
2017-01-19 00:00:00,300343,0.8
2017-01-20 00:00:00,300093,0.8
2017-01-23 00:00:00,002323,0.8
2017-01-24 00:00:00,000757,0.8
2017-01-25 00:00:00,002246,0.8
2017-01-26 00:00:00,600897,0.8
2017-02-03 00:00:00,600063,0.8
2017-02-06 00:00:00,600506,0.8
2017-02-07 00:00:00,002196,0.8
2017-02-08 00:00:00,002530,0.8
2017-02-09 00:00:00,600219,0.8
2017-02-10 00:00:00,002648,0.8
2017-02-13 00:00:00,600728,0.8
2017-02-14 00:00:00,601118,0.8
2017-02-15 00:00:00,002460,0.8
2017-02-16 00:00:00,000514,0.8
2017-02-17 00:00:00,000532,0.8
2017-02-20 00:00:00,002389,0.8
2017-02-21 00:00:00,000507,0.8
2017-02-22 00:00:00,600461,0.8
2017-02-23 00:00:00,002310,0.8
2017-02-24 00:00:00,600168,0.8
2017-02-27 00:00:00,002715,0.8
2017-02-28 00:00:00,600793,0.8
2017-03-01 00:00:00,600610,0.8
2017-03-02 00:00:00,002308,0.8
2017-03-03 00:00:00,000790,0.8
2017-03-06 00:00:00,002540,0.8
2017-03-07 00:00:00,300230,0.8
2017-03-08 00:00:00,002276,0.8
2017-03-09 00:00:00,300299,0.8
2017-03-10 00:00:00,002290,0.8
2017-03-13 00:00:00,300304,0.8
2017-03-14 00:00:00,300311,0.8
2017-03-15 00:00:00,600529,0.8
2017-03-16 00:00:00,601616,0.8
2017-03-17 00:00:00,002236,0.8
2017-03-20 00:00:00,600789,0.8
2017-03-21 00:00:00,600227,0.8
2017-03-22 00:00:00,000681,0.8
2017-03-23 00:00:00,000792,0.8
2017-03-24 00:00:00,002335,0.8
2017-03-27 00:00:00,601377,0.8
2017-03-28 00:00:00,300101,0.8
2017-03-29 00:00:00,002663,0.8
2017-03-30 00:00:00,001896,0.8
2017-03-31 00:00:00,002627,0.8
2017-04-05 00:00:00,002203,0.8
2017-04-06 00:00:00,300082,0.8
2017-04-07 00:00:00,002605,0.8
2017-04-10 00:00:00,300268,0.8
2017-04-11 00:00:00,600228,0.8
2017-04-12 00:00:00,600172,0.8
2017-04-13 00:00:00,000890,0.8
2017-04-14 00:00:00,600701,0.8
2017-04-17 00:00:00,000818,0.8
2017-04-18 00:00:00,002478,0.8
2017-04-19 00:00:00,600290,0.8
2017-04-20 00:00:00,600104,0.8
2017-04-21 00:00:00,000716,0.8
2017-04-24 00:00:00,002510,0.8
2017-04-25 00:00:00,002124,0.8
2017-04-26 00:00:00,600888,0.8
2017-04-27 00:00:00,002196,0.8
2017-04-28 00:00:00,000402,0.8
2017-05-02 00:00:00,002379,0.8
2017-05-03 00:00:00,600270,0.8
2017-05-04 00:00:00,300194,0.8
2017-05-05 00:00:00,002293,0.8
2017-05-08 00:00:00,000510,0.8
2017-05-09 00:00:00,000939,0.8
2017-05-10 00:00:00,600486,0.8
2017-05-11 00:00:00,600379,0.8
2017-05-12 00:00:00,600426,0.8
2017-05-15 00:00:00,600572,0.8
2017-05-16 00:00:00,600571,0.8
2017-05-17 00:00:00,600438,0.8
2017-05-18 00:00:00,000635,0.8
2017-05-19 00:00:00,002594,0.8
2017-05-22 00:00:00,600863,0.8
2017-05-23 00:00:00,002596,0.8
2017-05-24 00:00:00,600232,0.8
2017-05-25 00:00:00,002202,0.8
2017-05-26 00:00:00,600529,0.8
2017-05-31 00:00:00,002692,0.8
2017-06-01 00:00:00,002657,0.8
2017-06-02 00:00:00,000401,0.8
2017-06-05 00:00:00,300252,0.8
2017-06-06 00:00:00,600803,0.8
2017-06-07 00:00:00,002223,0.8
2017-06-08 00:00:00,600422,0.8
2017-06-09 00:00:00,601011,0.8
2017-06-12 00:00:00,601139,0.8
2017-06-13 00:00:00,300238,0.8
2017-06-14 00:00:00,600859,0.8
2017-06-15 00:00:00,600337,0.8
2017-06-16 00:00:00,600328,0.8
